sensor,value,datetime
HUM,45.0,2019-01-06 14:30:00+00:00
PRES,1015.66,2019-01-06 14:30:00+00:00
TC,17.795868,2019-01-06 15:30:00+00:00
HUM,49.0,2019-01-06 15:30:00+00:00
PRES,1015.98,2019-01-06 15:30:00+00:00
TC,16.801344,2019-01-06 16:30:00+00:00
HUM,52.0,2019-01-06 16:30:00+00:00
PRES,1016.04,2019-01-06 16:30:00+00:00
TC,16.1124,2019-01-06 17:30:00+00:00
HUM,55.00000000000001,2019-01-06 17:30:00+00:00
PRES,1015.97,2019-01-06 17:30:00+00:00
TC,14.951195999999998,2019-01-06 18:30:00+00:00
HUM,60.0,2019-01-06 18:30:00+00:00
PRES,1015.98,2019-01-06 18:30:00+00:00
TC,14.223360000000001,2019-01-06 19:30:00+00:00
HUM,62.0,2019-01-06 19:30:00+00:00
PRES,1015.69,2019-01-06 19:30:00+00:00
TC,13.434408,2019-01-06 20:30:00+00:00
HUM,65.0,2019-01-06 20:30:00+00:00
PRES,1015.41,2019-01-06 20:30:00+00:00
TC,12.578783999999999,2019-01-06 21:30:00+00:00
HUM,68.0,2019-01-06 21:30:00+00:00
PRES,1015.32,2019-01-06 21:30:00+00:00
TC,11.834279999999998,2019-01-06 22:30:00+00:00
HUM,71.0,2019-01-06 22:30:00+00:00
PRES,1015.39,2019-01-06 22:30:00+00:00
TC,12.100968,2019-01-06 23:30:00+00:00
HUM,70.0,2019-01-06 23:30:00+00:00
PRES,1015.52,2019-01-06 23:30:00+00:00
TC,12.995484,2019-01-07 00:30:00+00:00
HUM,68.0,2019-01-07 00:30:00+00:00
PRES,1015.81,2019-01-07 00:30:00+00:00
TC,13.934447999999998,2019-01-07 01:30:00+00:00
HUM,68.0,2019-01-07 01:30:00+00:00
PRES,1016.44,2019-01-07 01:30:00+00:00
TC,15.484571999999998,2019-01-07 02:30:00+00:00
HUM,65.0,2019-01-07 02:30:00+00:00
PRES,1017.08,2019-01-07 02:30:00+00:00
TC,17.668079999999996,2019-01-07 03:30:00+00:00
HUM,60.0,2019-01-07 03:30:00+00:00
PRES,1017.26,2019-01-07 03:30:00+00:00
TC,20.451635999999997,2019-01-07 04:30:00+00:00
HUM,52.0,2019-01-07 04:30:00+00:00
PRES,1016.99,2019-01-07 04:30:00+00:00
TC,22.874052,2019-01-07 05:30:00+00:00
HUM,46.0,2019-01-07 05:30:00+00:00
PRES,1016.7,2019-01-07 05:30:00+00:00
TC,24.5853,2019-01-07 06:30:00+00:00
HUM,41.0,2019-01-07 06:30:00+00:00
PRES,1016.17,2019-01-07 06:30:00+00:00
TC,25.902072,2019-01-07 07:30:00+00:00
HUM,38.0,2019-01-07 07:30:00+00:00
PRES,1015.11,2019-01-07 07:30:00+00:00
TC,26.129868,2019-01-07 08:30:00+00:00
HUM,37.0,2019-01-07 08:30:00+00:00
PRES,1014.07,2019-01-07 08:30:00+00:00
TC,25.663164000000002,2019-01-07 09:30:00+00:00
HUM,38.0,2019-01-07 09:30:00+00:00
PRES,1013.47,2019-01-07 09:30:00+00:00
TC,25.040892,2019-01-07 10:30:00+00:00
HUM,40.0,2019-01-07 10:30:00+00:00
PRES,1013.29,2019-01-07 10:30:00+00:00
TC,24.124152,2019-01-07 11:30:00+00:00
HUM,44.0,2019-01-07 11:30:00+00:00
PRES,1013.5,2019-01-07 11:30:00+00:00
TC,22.896276,2019-01-07 12:30:00+00:00
HUM,48.0,2019-01-07 12:30:00+00:00
PRES,1013.91,2019-01-07 12:30:00+00:00
TC,21.262812,2019-01-07 13:30:00+00:00
HUM,51.0,2019-01-07 13:30:00+00:00
PRES,1014.38,2019-01-07 13:30:00+00:00
TC,19.629348,2019-01-07 14:30:00+00:00
HUM,54.0,2019-01-07 14:30:00+00:00
PRES,1014.9,2019-01-07 14:30:00+00:00
TC,18.412584,2019-01-07 15:30:00+00:00
HUM,55.00000000000001,2019-01-07 15:30:00+00:00
PRES,1015.34,2019-01-07 15:30:00+00:00
TC,17.601408,2019-01-07 16:30:00+00:00
HUM,54.0,2019-01-07 16:30:00+00:00
PRES,1015.7,2019-01-07 16:30:00+00:00
TC,17.006916,2019-01-07 17:30:00+00:00
HUM,52.0,2019-01-07 17:30:00+00:00
PRES,1015.97,2019-01-07 17:30:00+00:00
TC,15.979055999999998,2019-01-07 18:30:00+00:00
HUM,52.0,2019-01-07 18:30:00+00:00
PRES,1016.19,2019-01-07 18:30:00+00:00
TC,14.928971999999998,2019-01-07 19:30:00+00:00
HUM,51.0,2019-01-07 19:30:00+00:00
PRES,1016.39,2019-01-07 19:30:00+00:00
TC,13.984452,2019-01-07 20:30:00+00:00
HUM,52.0,2019-01-07 20:30:00+00:00
PRES,1016.36,2019-01-07 20:30:00+00:00
TC,12.867695999999995,2019-01-07 21:30:00+00:00
HUM,54.0,2019-01-07 21:30:00+00:00
PRES,1016.42,2019-01-07 21:30:00+00:00
TC,11.595371999999998,2019-01-07 22:30:00+00:00
HUM,57.99999999999999,2019-01-07 22:30:00+00:00
PRES,1016.57,2019-01-07 22:30:00+00:00
TC,11.600928,2019-01-07 23:30:00+00:00
HUM,57.99999999999999,2019-01-07 23:30:00+00:00
PRES,1016.85,2019-01-07 23:30:00+00:00
TC,12.295428,2019-01-08 00:30:00+00:00
HUM,57.99999999999999,2019-01-08 00:30:00+00:00
PRES,1017.27,2019-01-08 00:30:00+00:00
TC,12.817692,2019-01-08 01:30:00+00:00
HUM,59.0,2019-01-08 01:30:00+00:00
PRES,1017.74,2019-01-08 01:30:00+00:00
TC,13.97334,2019-01-08 02:30:00+00:00
HUM,57.99999999999999,2019-01-08 02:30:00+00:00
PRES,1018.11,2019-01-08 02:30:00+00:00
TC,15.634584,2019-01-08 03:30:00+00:00
HUM,55.00000000000001,2019-01-08 03:30:00+00:00
PRES,1018.16,2019-01-08 03:30:00+00:00
TC,17.818091999999996,2019-01-08 04:30:00+00:00
HUM,50.0,2019-01-08 04:30:00+00:00
PRES,1017.9,2019-01-08 04:30:00+00:00
TC,19.97382,2019-01-08 05:30:00+00:00
HUM,45.0,2019-01-08 05:30:00+00:00
PRES,1017.73,2019-01-08 05:30:00+00:00
TC,21.673956,2019-01-08 06:30:00+00:00
HUM,39.0,2019-01-08 06:30:00+00:00
PRES,1017.32,2019-01-08 06:30:00+00:00
TC,23.007396,2019-01-08 07:30:00+00:00
HUM,35.0,2019-01-08 07:30:00+00:00
PRES,1016.29,2019-01-08 07:30:00+00:00
TC,23.268528,2019-01-08 08:30:00+00:00
HUM,33.0,2019-01-08 08:30:00+00:00
PRES,1015.24,2019-01-08 08:30:00+00:00
TC,22.840716,2019-01-08 09:30:00+00:00
HUM,34.0,2019-01-08 09:30:00+00:00
PRES,1014.58,2019-01-08 09:30:00+00:00
TC,22.207332,2019-01-08 10:30:00+00:00
HUM,37.0,2019-01-08 10:30:00+00:00
PRES,1014.3,2019-01-08 10:30:00+00:00
TC,21.101688000000006,2019-01-08 11:30:00+00:00
